,A1-B002764-3_38_F-1-1,A1-D042253-3_9_M-1-1,A1-MAA000487-3_10_M-1-1,A1-MAA000779-3_11_M-1-1,A1-MAA100039-3_11_M-1-1,A10-B000971-3_39_F-1-1,A10-B002775-3_39_F-1-1,A10-D041914-3_8_M-1-1,A10-MAA000559-3_8_M-1-1,A11-D041914-3_8_M-1-1,A11-MAA000559-3_8_M-1-1,A11-MAA000577-3_8_M-1-1,A11-MAA100041-3_9_M-1-1,A11-MAA100140-3_57_F-1-1,A12-B001717-3_38_F-1-1,A12-D041914-3_8_M-1-1,A12-D042253-3_9_M-1-1,A12-MAA000508-3_9_M-1-1,A12-MAA000559-3_8_M-1-1
A1-B002764-3_38_F-1-1,1.0,0.016453,0.014886,0.022088,0.013895,0.025531,0.021337,0.019703,0.018874,0.020039,0.018722,0.009507,0.01385,0.039055,0.017531,0.018843,0.013823,0.02202,0.01949
A1-D042253-3_9_M-1-1,0.016453,1.0,0.080555,0.028798,0.068457,0.031126,0.045203,0.102617,0.028773,0.085821,0.033641,0.027635,0.081009,0.030886,0.040233,0.08298,0.111722,0.046489,0.033389999999999996
A1-MAA000487-3_10_M-1-1,0.014886,0.080555,1.0,0.022032,0.065012,0.033889,0.040529,0.085983,0.028963,0.08096,0.029788,0.034719,0.068747,0.027868,0.038842,0.075386,0.089428,0.033005,0.030680000000000002
A1-MAA000779-3_11_M-1-1,0.022088,0.028798,0.022032,1.0,0.021163,0.027648,0.025016,0.028841,0.030152,0.02802,0.033444,0.011843,0.026033,0.021654,0.026685,0.027173,0.02624,0.036766,0.03247
A1-MAA100039-3_11_M-1-1,0.013895,0.068457,0.065012,0.021163,1.0,0.031629,0.038519,0.076191,0.025857,0.065125,0.02881,0.038147,0.170246,0.047481,0.037394,0.064833,0.081881,0.034143,0.02913
A10-B000971-3_39_F-1-1,0.025531,0.031126,0.033889,0.027648,0.031629,1.0,0.033031,0.039974,0.029692,0.040555,0.031138,0.023124,0.034395,0.028536,0.034419,0.039784,0.034378,0.032648,0.03106
A10-B002775-3_39_F-1-1,0.021337,0.045203,0.040529,0.025016,0.038519,0.033031,1.0,0.048053,0.026046,0.044894,0.028589,0.021233,0.043907,0.02683,0.033326,0.042274,0.0467,0.034118,0.02715
A10-D041914-3_8_M-1-1,0.019703,0.102617,0.085983,0.028841,0.076191,0.039974,0.048053,1.0,0.032639,0.112952,0.036634,0.03408,0.083723,0.033279,0.04455,0.093449,0.106013,0.043535,0.03659
A10-MAA000559-3_8_M-1-1,0.018874,0.028773,0.028963,0.030152,0.025857,0.029692,0.026046,0.032639,1.0,0.029658,0.045436,0.019042,0.028191,0.022778,0.025413,0.028853,0.02989,0.03347,0.04838
A11-D041914-3_8_M-1-1,0.020039,0.085821,0.08096,0.02802,0.065125,0.040555,0.044894,0.112952,0.029658,1.0,0.033322,0.032945,0.071941,0.032571,0.044243,0.088555,0.089065,0.038852,0.03347
A11-MAA000559-3_8_M-1-1,0.018722,0.033641,0.029788,0.033444,0.02881,0.031138,0.028589,0.036634,0.045436,0.033322,1.0,0.019133,0.033463,0.02281,0.028701,0.031403,0.033609,0.036771,0.04746
A11-MAA000577-3_8_M-1-1,0.009507,0.027635,0.034719,0.011843,0.038147,0.023124,0.021233,0.03408,0.019042,0.032945,0.019133,1.0,0.035127,0.017374,0.022482,0.032121,0.034383,0.016907,0.01936
A11-MAA100041-3_9_M-1-1,0.01385,0.081009,0.068747,0.026033,0.170246,0.034395,0.043907,0.083723,0.028191,0.071941,0.033463,0.035127,1.0,0.06407,0.040306,0.069051,0.090349,0.043466,0.0336
A11-MAA100140-3_57_F-1-1,0.039055,0.030886,0.027868,0.021654,0.047481,0.028536,0.02683,0.033279,0.022778,0.032571,0.02281,0.017374,0.06407,1.0,0.02328,0.030201,0.029128,0.026621,0.02402
A12-B001717-3_38_F-1-1,0.017531,0.040233,0.038842,0.026685,0.037394,0.034419,0.033326,0.04455,0.025413,0.044243,0.028701,0.022482,0.040306,0.02328,1.0,0.041416,0.044554,0.030595,0.02721
A12-D041914-3_8_M-1-1,0.018843,0.08298,0.075386,0.027173,0.064833,0.039784,0.042274,0.093449,0.028853,0.088555,0.031403,0.032121,0.069051,0.030201,0.041416,1.0,0.08813,0.036454,0.03163
A12-D042253-3_9_M-1-1,0.013823,0.111722,0.089428,0.02624,0.081881,0.034378,0.0467,0.106013,0.02989,0.089065,0.033609,0.034383,0.090349,0.029128,0.044554,0.08813,1.0,0.043456,0.03325
A12-MAA000508-3_9_M-1-1,0.02202,0.046489,0.033005,0.036766,0.034143,0.032648,0.034118,0.043535,0.03347,0.038852,0.036771,0.016907,0.043466,0.026621,0.030595,0.036454,0.043456,1.0,0.03871
A12-MAA000559-3_8_M-1-1,0.01949,0.033389999999999996,0.030680000000000002,0.03247,0.02913,0.03106,0.02715,0.03659,0.04838,0.03347,0.04746,0.01936,0.0336,0.02402,0.02721,0.03163,0.03325,0.03871,1.0
